name,codepoint_hex,glyph
nf-dev-nodejs,e719,
nf-dev-nodemon,e844,
nf-dev-nodewebkit,e845,
nf-dev-nomad,e846,
nf-dev-norg,e847,
nf-dev-notion,e848,
nf-dev-npm,e71e,
nf-dev-nuget,e849,
nf-dev-numpy,e84a,
nf-dev-nuxtjs,e84b,
nf-dev-oauth,e84c,
nf-dev-objectivec,e84d,
nf-dev-ocaml,e84e,
nf-dev-ohmyzsh,e84f,
nf-dev-okta,e850,
nf-dev-openal,e851,
nf-dev-openapi,e852,
nf-dev-opencl,e853,
nf-dev-opencv,e854,
nf-dev-opengl,e855,
nf-dev-openstack,e856,
nf-dev-opensuse,e857,
nf-dev-opentelemetry,e858,
nf-dev-opera,e746,
nf-dev-oracle,e859,
nf-dev-ory,e85a,
nf-dev-p5js,e85b,
nf-dev-packer,e85c,
nf-dev-pandas,e85d,
nf-dev-perl,e769,
nf-dev-pfsense,e85e,
nf-dev-phalcon,e85f,
nf-dev-phoenix,e860,
nf-dev-photonengine,e861,
nf-dev-photoshop,e7b8,
nf-dev-php,e73d,
nf-dev-phpstorm,e862,
nf-dev-playwright,e863,
nf-dev-plotly,e864,
nf-dev-pnpm,e865,
nf-dev-podman,e866,
nf-dev-poetry,e867,
nf-dev-polygon,e868,
nf-dev-portainer,e869,
nf-dev-postcss,e86a,
nf-dev-postgresql,e76e,
nf-dev-postman,e86b,
nf-dev-powershell,e86c,
nf-dev-premierepro,e86d,
nf-dev-prisma,e86e,
nf-dev-processing,e86f,
nf-dev-prolog,e7a1,
nf-dev-prometheus,e870,
nf-dev-protractor,e871,
nf-dev-pulsar,e872,
nf-dev-pulumi,e873,
nf-dev-puppeteer,e874,
nf-dev-purescript,e875,
nf-dev-putty,e876,
nf-dev-pycharm,e877,
nf-dev-pypi,e878,
nf-dev-pyscript,e879,
nf-dev-pytest,e87a,
nf-dev-python,e73c,
nf-dev-pytorch,e87b,
nf-dev-qodana,e87c,
nf-dev-qt,e87d,
nf-dev-quarkus,e87e,
