name	codepoint_hex	glyph	printf_escape
nf-dev-ifttt	e7ff		\ue7ff
nf-dev-illustrator	e7b4		\ue7b4
nf-dev-influxdb	e800		\ue800
nf-dev-inkscape	e801		\ue801
nf-dev-insomnia	e802		\ue802
nf-dev-intellij	e7b5		\ue7b5
nf-dev-ionic	e7a9		\ue7a9
nf-dev-jaegertracing	e803		\ue803
nf-dev-jamstack	e804		\ue804
nf-dev-jasmine	e805		\ue805
nf-dev-java	e738		\ue738
nf-dev-javascript	e781		\ue781
nf-dev-jeet	e806		\ue806
nf-dev-jekyll	e70d		\ue70d
nf-dev-jenkins	e767		\ue767
nf-dev-jest	e807		\ue807
nf-dev-jetbrains	e808		\ue808
nf-dev-jetpackcompose	e809		\ue809
nf-dev-jira	e75c		\ue75c
nf-dev-jiraalign	e80a		\ue80a
nf-dev-jquery	e750		\ue750
nf-dev-json	e80b		\ue80b
nf-dev-jule	e80c		\ue80c
nf-dev-julia	e80d		\ue80d
nf-dev-junit	e80e		\ue80e
nf-dev-jupyter	e80f		\ue80f
nf-dev-k3os	e810		\ue810
nf-dev-k3s	e811		\ue811
nf-dev-k6	e812		\ue812
nf-dev-kaggle	e813		\ue813
nf-dev-karatelabs	e814		\ue814
nf-dev-karma	e815		\ue815
nf-dev-kdeneon	e816		\ue816
nf-dev-keras	e817		\ue817
nf-dev-kibana	e818		\ue818
nf-dev-knexjs	e819		\ue819
nf-dev-knockout	e81a		\ue81a
nf-dev-kotlin	e81b		\ue81b
nf-dev-krakenjs	e784		\ue784
nf-dev-ktor	e81c		\ue81c
nf-dev-kubernetes	e81d		\ue81d
nf-dev-labview	e81e		\ue81e
nf-dev-laravel	e73f		\ue73f
nf-dev-latex	e81f		\ue81f
nf-dev-less	e758		\ue758
nf-dev-linkedin	e820		\ue820
nf-dev-linux	e712		\ue712
nf-dev-liquibase	e821		\ue821
nf-dev-livewire	e822		\ue822
nf-dev-llvm	e823		\ue823
nf-dev-lodash	e824		\ue824
nf-dev-logstash	e825		\ue825
nf-dev-lua	e826		\ue826
nf-dev-lumen	e827		\ue827
nf-dev-magento	e740		\ue740
nf-dev-mariadb	e828		\ue828
nf-dev-markdown	e73e		\ue73e
nf-dev-materializecss	e7b6		\ue7b6
nf-dev-materialui	e829		\ue829
nf-dev-matlab	e82a		\ue82a
nf-dev-matplotlib	e82b		\ue82b
nf-dev-maven	e82c		\ue82c
nf-dev-maya	e82d		\ue82d
nf-dev-meteor	e7a5		\ue7a5
nf-dev-meteorfull	e7a6		\ue7a6
nf-dev-microsoftsqlserver	e82e		\ue82e
nf-dev-minitab	e82f		\ue82f
nf-dev-mithril	e830		\ue830
nf-dev-mobx	e831		\ue831
nf-dev-mocha	e832		\ue832
nf-dev-modx	e833		\ue833
nf-dev-moleculer	e834		\ue834
nf-dev-mongodb	e7a4		\ue7a4
nf-dev-mongoose	e835		\ue835
nf-dev-moodle	e836		\ue836
nf-dev-mozilla	e786		\ue786
nf-dev-msdos	e837		\ue837
nf-dev-mysql	e704		\ue704
nf-dev-nano	e838		\ue838
nf-dev-neo4j	e839		\ue839
nf-dev-neovim	e83a		\ue83a
nf-dev-nestjs	e83b		\ue83b
nf-dev-netlify	e83c		\ue83c
nf-dev-networkx	e83d		\ue83d
nf-dev-nextjs	e83e		\ue83e
nf-dev-nginx	e776		\ue776
nf-dev-ngrx	e83f		\ue83f
nf-dev-nhibernate	e840		\ue840
nf-dev-nim	e841		\ue841
